job_title,job_type,position_level,city,experience,skills,job_fields,salary,salary_min,salary_max,unit,event_time,event_type
chuyên viên tư vấn đầu tư khcn,nhân viên chính thức,nhân viên,hà nội,trên 1 năm,"chuyên viên tư vấn đầu tư khcn hà nội, môi giới chứng khoán, tư vấn đầu tư, chứng khoán","đầu tư, tài chính, ngân hàng, chứng khoán",7 tr - 20 tr vnd,7.0,20.0,vnd,2026-01-16T22:03:26.000Z,JOB_CREATED
kế toán tổng hợp tại hà nội,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,lên đến 3 năm,"kế toán tổng hợp, báo cáo tài chính, kế toán, kế toán viên, kiểm toán, tài chính kế toán, báo cáo thuế, trưởng nhóm","kế toán, điện, bưu chính viễn thông, kiểm toán, điện tử, điện lạnh, điện công nghiệp",12 tr - 18 tr vnd,12.0,18.0,vnd,2026-01-16T22:03:28.000Z,JOB_CREATED
thực tập sinh kế toán,nhân viên chính thức,"sinh viên, thực tập sinh",hồ chí minh,không yêu cầu,"internship, sinh viên thực tập, thực tập sinh kế toán, nhân viên thực tập, nhân viên thực tập nước ngoài","kế toán, kiểm toán","1,5 tr - 3 tr vnd",1.5,3.0,vnd,2026-01-16T22:03:29.000Z,JOB_CREATED
nhân viên kinh doanh,nhân viên chính thức,nhân viên,hồ chí minh,2 - 5 năm,"nhân viên phòng kinh doanh, đại diện kinh doanh, sale excutive, trình dược viên, sales engineer, sales dept, telesales, wholesale executive, salesman, nhân viên bán hàng","y tế, thẩm mỹ, làm đẹp, kinh doanh, bán hàng, chăm sóc sức khỏe",10 tr - 30 tr vnd,10.0,30.0,vnd,2026-01-16T22:03:30.000Z,JOB_CREATED
trưởng phòng hành chính nhân sự tổng hợp,nhân viên chính thức,"trưởng nhóm , giám sát",hà nội,trên 5 năm,"trưởng phòng hành chánh nhân sự, trưởng phòng hành chính nhân sự tổng hợp, human resource and administration manager, hr administration manager, giám đốc hành chính nhân sự, hr administration director, trưởng phòng hcns, hr & admin manager, giám đốc hcns, hr & admin director","quản lý điều hành, thư ký, hành chính, nhân sự",15 tr - 20 tr vnd,15.0,20.0,vnd,2026-01-16T22:03:31.000Z,JOB_CREATED
kỹ sư điện,nhân viên chính thức,nhân viên,hà nội,2 - 5 năm,"nhân viên điện công trình, kỹ sư m&e, electrical engineer, kỹ sư giám sát điện, kỹ sư điện, m&e engineer, kỹ sư cơ điện công trình, kỹ sư thiết kế hệ thống điện, chuyên viên kỹ thuật điện","điện, kiến trúc, xây dựng, điện tử, điện lạnh, điện công nghiệp",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:03:32.000Z,JOB_CREATED
content creator vj tiktok sáng tạo nội dung video,nhân viên chính thức,nhân viên,hồ chí minh,không yêu cầu,"sáng tạo video, vj, content creator, chuyên viên sáng tạo video ngắn","truyền hình, marketing, biên tập, truyền thông, đối ngoại, quảng cáo, tiếp thị, báo chí",8 tr - 15 tr vnd,8.0,15.0,vnd,2026-01-16T22:03:33.000Z,JOB_CREATED
trợ lý tiếng trung,nhân viên chính thức,nhân viên,hồ chí minh,1 - 2 năm,"trợ lý tiếng trung sài gòn, assistant","xuất nhập khẩu, biên phiên dịch",13 tr - 18 tr vnd,13.0,18.0,vnd,2026-01-16T22:03:36.000Z,JOB_CREATED
chuyên viên tuyển dụng,nhân viên chính thức,nhân viên,hà nội,trên 2 năm,"","quản lý điều hành, thư ký, hành chính, nhân sự",10 tr - 18 tr vnd,10.0,18.0,vnd,2026-01-16T22:03:38.000Z,JOB_CREATED
digital marketing executive,nhân viên chính thức,nhân viên,hà nội,2 - 5 năm,"marketer, marketing executive, chuyên viên pr marketing, chuyên viên social media, chuyên viên marketing online, nhân viên marketing online, marketing operations officer, online marketing executive, nhân viên marketing, marketing specialist","tiếp thị, marketing",20 tr - 40 tr vnd,20.0,40.0,vnd,2026-01-16T22:03:40.000Z,JOB_CREATED
nhân viên bảo vệ,nhân viên chính thức,nhân viên,hồ chí minh,trên 3 năm,"bảo vệ, nhân viên bảo vệ tại kho vận, nhân viên an ninh, security officer","giao nhận, bảo vệ, vận chuyển, lao động phổ thông, kho vận, an ninh",lên đến 10 tr vnd,0.0,10.0,vnd,2026-01-16T22:03:42.000Z,JOB_CREATED
chuyên viên tư vấn giáo dục ocean edu khu vực yên khánh thu nhập từ 13tr tháng,nhân viên chính thức,nhân viên,ninh bình,chưa có kinh nghiệm,"tuyển sinh, ninh bình, tư vấn, chuyên viên tư vấn giáo dục ocean edu khu vực yên khánh thu nhập từ tr, tháng, giáo dục","kinh doanh, bán hàng, tư vấn, dịch vụ khách hàng",13 tr - 14 tr vnd,13.0,14.0,vnd,2026-01-16T22:03:43.000Z,JOB_CREATED
nhân viên tư vấn trả góp nhận việc ngay,nhân viên chính thức,nhân viên,hà nội,chưa có kinh nghiệm,"nhân viên kinh doanh tại hà nội, auto, pg tại hà nội, nhân viên tư vấn trả góp pos nhận việc ngay, twl, cdl, pb tại hà nội, nhân viên xe máy tại hà nội, nhân viên tư vân tại hà nội, nhân viên bán hàng tại hà nội, nhân viên chăm sóc khác hàng tại hà nội, nhân viên tài chính tại hà nội, nhân viên ô tô tại hà nội, nhân viên dịch vụ khách hàng tại hà nội","đầu tư, kinh doanh, bán hàng, dịch vụ khách hàng, tài chính",7 tr - 15 tr vnd,7.0,15.0,vnd,2026-01-16T22:03:44.000Z,JOB_CREATED
nhân viên hành chính mảng thú y,nhân viên chính thức,nhân viên,bình phước,1 - 3 năm,"admin assistant, nhân viên hành chính mảng thú y, admin officer, nhân viên hành chánh, thư ký hành chánh, nhân viên hành chánh văn phòng, secretary admin, nhân viên hành chánh dự án, admin staff, admin executive, trợ lý hành chính","thú y, chăn nuôi",9 tr - 12 tr vnd,9.0,12.0,vnd,2026-01-16T22:03:46.000Z,JOB_CREATED
giám đốc nhân sự tập đoàn,nhân viên chính thức,giám đốc,hà nội,10 - 20 năm,"hr director, hrbp, hr, giám đôc nhân sự, human resource director, chro",nhân sự,"3,000 - 6,000 usd",75.0,150.0,usd,2026-01-16T22:03:47.000Z,JOB_CREATED
kế toán quản trị,nhân viên chính thức,nhân viên,hồ chí minh,4 - 5 năm,"","kế toán, kiểm toán, xuất nhập khẩu, vận hành sản xuất, sản xuất",10 tr - 15 tr vnd,10.0,15.0,vnd,2026-01-16T22:03:49.000Z,JOB_CREATED
nhân viên kinh doanh,nhân viên chính thức,nhân viên,hải phòng,trên 2 năm,"sales executive, nhân viên phòng kinh doanh, chuyên viên kinh doanh, đại diện bán hàng, đại diện kinh doanh, sales engineer, sales dept, nhân viên kinh doanh biết tiếng nhật, telesales, salesman, nhân viên bán hàng","cơ khí, biên phiên dịch, tự động hóa, kinh doanh, ô tô, bán hàng",14 tr - 25 tr vnd,14.0,25.0,vnd,2026-01-16T22:03:50.000Z,JOB_CREATED
technical sales executive,nhân viên chính thức,nhân viên,hồ chí minh,trên 2 năm,"","thực phẩm & đồ uống, bán sỉ, bán lẻ, kinh doanh, bán hàng",17 tr - 25 tr vnd,17.0,25.0,vnd,2026-01-16T22:03:52.000Z,JOB_CREATED
nhân viên bảo trì điện,nhân viên chính thức,nhân viên,bình dương,3 - 4 năm,"","điện, sửa chữa, bảo trì, điện tử, điện lạnh, điện công nghiệp, vận hành sản xuất, sản xuất",10 tr - 13 tr vnd,10.0,13.0,vnd,2026-01-16T22:03:53.000Z,JOB_CREATED
trợ lý kinh doanh tiếng trung,nhân viên chính thức,nhân viên,hà nội,không yêu cầu,"trợ lý kinh doanh, trợ lý kinh doanh tiếng trung bộ phậnthị trường, sales support, trợ lý kinh doanh tiếng anh, tư vấn viên kinh doanh, sales assistant, trợ lý kinh doanh tiếng hoa, trợ lý kinh daonh tiếng nhật, sale coodinator, trợ lý kinh doanh tiếng hàn, nhân viên hỗ trợ kinh doanh","thư ký, hành chính",12 tr - 17 tr vnd,12.0,17.0,vnd,2026-01-16T22:03:55.000Z,JOB_CREATED
mega gangnam bác sĩ da liễu pttm,nhân viên chính thức,"trưởng nhóm , giám sát",hồ chí minh,2 - 7 năm,"pttm mạnh căng chỉ, mega gangnam bác sĩ da liễu, dermatologist","thẩm mỹ, y tế, chăm sóc sức khỏe, làm đẹp",70 tr - 150 tr vnd,70.0,150.0,vnd,2026-01-16T22:03:58.000Z,JOB_CREATED
trưởng nhóm sản xuất,nhân viên chính thức,"trưởng nhóm , giám sát",hưng yên,3 - 15 năm,"","vận hành sản xuất, sản xuất",600 - 800 usd,15.0,20.0,usd,2026-01-16T22:03:58.000Z,JOB_CREATED
chuyên viên quản lý thiết bị,nhân viên chính thức,nhân viên,hà nội,3 - 5 năm,"quản lý máy móc xây dựng, xây dựng","bảo trì, xây dựng, sửa chữa",20 tr - 25 tr vnd,20.0,25.0,vnd,2026-01-16T22:04:00.000Z,JOB_CREATED
